2019-12-12 21:17:06.048466 - Python Partest Version 0.5
Setting up test: runsperthread=50 threads=1 totalruns=50 payload=[{'name': 'Bob'} {'name': 'Joe'} {'name': 'Steve'}]

Raw results of each run:
containerID,contextSwitches,contextSwitchesDelta,cpuCores,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,freeMemory,functionMemory,functionName,functionRegion,majorPageFaults,majorPageFaultsDelta,newcontainer,pageFaults,pageFaultsDelta,runtime,totalMemory,userRuntime,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,24563,2,2,271568,0,9,0,0,0,119,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,388,0,4,404360,512,tutorial9,us-east-1,685,0,0,74326,0,5,633804,0,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,77,0,1576183706
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,25659,1,2,524630,0,12,0,0,0,137,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,343,0,21,413812,512,tutorial9,us-east-1,684,0,0,70589,0,21,633804,0,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,122,0,1576182424
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,22926,3,2,392129,0,12,0,0,0,141,0,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,339,0,23,412224,512,tutorial9,us-east-1,689,0,0,71254,0,24,633804,0,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,249,0,1576183089
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,24541,861,2,523322,1228,12,0,0,0,131,6,62,0,0,1,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,304,29,16,417160,512,tutorial9,us-east-1,682,2,0,70010,420,6353,633804,6336,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,112,9,1576182424
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,12085,1576,2,154715,2625,2,0,0,0,56,13,62,0,0,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,86,23,138,474080,512,tutorial9,us-east-1,642,2,1,60319,2396,13484,633804,13345,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,4,3,1576184143
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,24769,2,2,319491,0,14,0,0,0,133,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,379,0,4,409088,512,tutorial9,us-east-1,690,0,0,73007,0,5,633804,0,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,148,0,1576183461
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,26997,2,2,473482,0,11,0,0,0,135,0,62,0,0,4,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,358,0,22,409176,512,tutorial9,us-east-1,688,0,0,72537,0,23,633804,0,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,147,0,1576182693
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,23997,2,2,319280,0,14,0,0,0,129,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,365,0,4,409824,512,tutorial9,us-east-1,690,0,0,72321,0,5,633804,1,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,142,0,1576183461
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,19967,1328,2,179261,2391,3,0,0,0,116,8,62,0,0,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,296,24,5,409924,512,tutorial9,us-east-1,685,3,0,73785,435,12153,633804,12147,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,13,3,1576184143
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,26567,772,2,339303,2397,14,0,0,0,135,1,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,382,1,11,408956,512,tutorial9,us-east-1,690,0,0,73237,2,12013,633804,12001,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,154,4,1576183461
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,23819,1863,2,468691,4435,11,0,0,0,127,5,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,298,31,5,414300,512,tutorial9,us-east-1,684,4,0,70993,472,22412,633804,22407,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,126,14,1576182693
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,21694,20,2,318311,4,10,0,0,0,122,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,328,1,4,413312,512,tutorial9,us-east-1,681,0,0,70940,7,41,633804,17,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,176,0,1576183452
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,23362,2,2,392214,0,12,0,0,0,143,0,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,351,0,23,411392,512,tutorial9,us-east-1,689,0,0,71647,0,24,633804,0,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,251,0,1576183089
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,24600,766,2,341286,2397,10,0,0,0,126,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,351,1,17,412228,512,tutorial9,us-east-1,682,0,0,72002,1,12018,633804,12000,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,183,11,1576183452
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,22460,3,2,182014,0,3,0,0,0,125,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,347,0,9,405164,512,tutorial9,us-east-1,688,0,0,75110,1,10,633804,0,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,17,0,1576184143
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,25011,2,2,361717,0,8,0,0,0,123,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,408,0,3,404508,512,tutorial9,us-east-1,691,0,0,74274,0,4,633804,0,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,103,0,1576183247
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,27311,2,2,473554,0,11,0,0,0,135,0,62,0,0,4,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,363,0,15,409060,512,tutorial9,us-east-1,688,0,0,72817,0,15,633804,0,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,147,0,1576182693
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,22057,4,2,318399,0,10,0,0,0,123,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,335,0,3,413056,512,tutorial9,us-east-1,681,0,0,71244,0,4,633804,0,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,179,0,1576183452
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,21814,2,2,181771,0,3,0,0,0,124,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,334,0,21,405840,512,tutorial9,us-east-1,688,0,0,74610,0,22,633804,0,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,16,0,1576184143
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,22204,0,2,181942,0,3,0,0,0,125,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,344,0,21,405412,512,tutorial9,us-east-1,688,0,0,74910,0,22,633804,0,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,17,0,1576184143
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,13294,1536,2,255993,2622,4,0,0,0,65,11,62,0,0,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,74,25,263,472988,512,tutorial9,us-east-1,645,1,1,60965,1517,13586,633804,13322,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,28,5,1576183637
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,23151,2,2,392173,1,12,0,0,0,142,0,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,346,0,13,411564,512,tutorial9,us-east-1,689,0,0,71474,0,14,633804,0,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,250,0,1576183089
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,23797,2,2,392295,0,12,0,0,0,143,0,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,358,0,4,410904,512,tutorial9,us-east-1,689,0,0,71979,0,5,633804,0,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,254,0,1576183089
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,24827,827,2,202964,2397,3,0,0,0,128,1,62,0,0,1,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,364,0,17,404700,512,tutorial9,us-east-1,688,0,0,75801,13,12018,633804,12001,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,23,2,1576184143
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,23555,4,2,271308,0,9,0,0,0,117,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,365,0,3,405020,512,tutorial9,us-east-1,685,0,0,73488,0,4,633804,1,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,75,0,1576183706
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,24024,0,2,392336,0,12,0,0,0,143,0,62,0,0,4,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,362,0,12,410780,512,tutorial9,us-east-1,689,0,0,72127,0,13,633804,0,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,254,0,1576183089
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,14059,1571,2,333853,2623,6,0,0,0,59,13,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,113,28,138,473020,512,tutorial9,us-east-1,640,0,1,60475,2729,13501,633804,13362,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,33,16,1576183247
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,23742,1,2,271387,0,9,0,0,0,118,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,370,0,16,404932,512,tutorial9,us-east-1,685,0,0,73657,0,16,633804,0,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,75,0,1576183706
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,28900,711,2,546757,2397,12,0,0,0,144,1,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,377,0,33,412248,512,tutorial9,us-east-1,684,0,0,71966,0,12035,633804,12000,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,133,4,1576182424
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,22417,32,2,281710,0,5,0,0,0,127,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,314,0,9,410464,512,tutorial9,us-east-1,690,0,0,72313,6,10,633804,0,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,65,0,1576183637
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,22209,3,2,281665,0,5,0,0,0,127,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,309,0,18,410836,512,tutorial9,us-east-1,690,0,0,72098,0,19,633804,0,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,65,0,1576183637
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,23081,2,2,281831,0,5,0,0,0,128,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,326,0,5,410124,512,tutorial9,us-east-1,690,0,0,72833,0,6,633804,0,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,67,0,1576183637
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,25905,2,2,524677,0,12,0,0,0,137,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,349,0,20,413416,512,tutorial9,us-east-1,684,0,0,70807,0,20,633804,0,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,124,0,1576182424
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,22015,4,2,181900,0,3,0,0,0,124,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,340,0,38,405584,512,tutorial9,us-east-1,688,0,0,74779,0,39,633804,0,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,17,0,1576184143
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,25968,5,2,473204,0,11,0,0,0,132,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,337,1,4,410216,512,tutorial9,us-east-1,688,0,0,71649,0,5,633804,0,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,142,0,1576182693
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,22864,2,2,281795,0,5,0,0,0,128,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,323,0,3,410380,512,tutorial9,us-east-1,690,0,0,72627,0,4,633804,0,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,67,0,1576183637
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,26771,0,2,473377,0,11,0,0,0,134,0,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,353,0,4,409480,512,tutorial9,us-east-1,688,0,0,72384,0,4,633804,0,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,145,0,1576182693
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,12974,1462,2,242199,2619,6,1,0,0,56,12,62,0,0,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,99,23,122,473616,512,tutorial9,us-east-1,641,2,1,60236,1823,13447,633804,13321,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,9,13,1576183706
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,22615,2,2,318524,0,10,0,0,0,123,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,348,0,4,412560,512,tutorial9,us-east-1,682,0,0,71750,0,5,633804,0,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,179,0,1576183452
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,24221,2,2,361538,0,8,0,0,0,120,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,394,0,7,405128,512,tutorial9,us-east-1,691,0,0,73612,5,8,633804,0,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,96,0,1576183247
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,27121,2,2,473508,0,11,0,0,0,135,0,62,0,0,4,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,360,0,3,409052,512,tutorial9,us-east-1,688,0,0,72693,0,4,633804,0,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,147,0,1576182693
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,23462,2,2,281920,0,5,0,0,0,129,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,334,0,4,409728,512,tutorial9,us-east-1,690,0,0,73152,0,5,633804,0,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,67,0,1576183637
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,26316,0,2,524757,0,12,0,0,0,139,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,356,0,17,412968,512,tutorial9,us-east-1,684,0,0,71107,0,18,633804,0,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,127,0,1576182424
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,23629,4,2,281959,0,5,0,0,0,130,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,337,0,3,409728,512,tutorial9,us-east-1,690,0,0,73276,0,4,633804,0,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,67,0,1576183637
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,23666,2,2,319187,0,14,0,0,0,128,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,356,0,4,410032,512,tutorial9,us-east-1,690,0,0,72017,0,5,633804,1,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,140,0,1576183461
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,21138,804,2,280983,605,5,0,0,0,122,5,62,0,0,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,272,31,18,414968,512,tutorial9,us-east-1,687,3,0,71435,489,3238,633804,3219,a96e99b1-d05f-4f26-b602-73c851b0b36d,hzWV28,61,3,1576183637
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,22625,4,2,182053,0,3,0,0,0,125,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,351,0,4,404908,512,tutorial9,us-east-1,688,0,0,75282,0,4,633804,0,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,17,0,1576184143
Successful Runs: 102

Category containerID:
containerID,uses,avg_contextSwitches,avg_contextSwitchesDelta,avg_cpuCores,avg_cpuIdleDelta,avg_cpuIowaitDelta,avg_cpuIrqDelta,avg_cpuKrnDelta,avg_cpuNiceDelta,avg_cpuSoftIrqDelta,cpuType_list,avg_cpuUsrDelta,avg_frameworkRuntime,avg_freeMemory,avg_functionMemory,avg_majorPageFaults,avg_majorPageFaultsDelta,sum_newcontainer,avg_pageFaults,avg_pageFaultsDelta,avg_runtime,avg_tenants[vmID],avg_totalMemory,avg_userRuntime,vmID_list,avg_vmcpusteal,avg_vmcpustealDelta,avg_vmuptime
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,11,21392.73,344.36,2.00,674.00,0.00,0.00,2.00,0.00,0.18,['Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62'],4.27,31.64,411956.73,512.00,683.55,0.45,1,73637.09,259.00,3441.09,11.00,633804.00,3408.45,['wlA3wq'],16.00,0.73,1576184143.00
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,11,23170.27,358.09,2.00,799.27,0.00,0.00,1.73,0.00,0.09,['Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62'],4.55,31.73,415672.73,512.00,685.73,0.18,1,71316.18,185.36,4070.36,11.00,633804.00,4038.09,['vfjy6n'],134.27,2.45,1576183461.00
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,11,25596.64,278.00,2.00,568.00,0.00,0.00,1.82,0.00,0.09,['Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62'],4.64,34.27,418723.27,512.00,680.09,0.18,1,70206.73,156.09,2914.55,11.00,633804.00,2879.64,['g8Ujcw'],119.73,2.55,1576182424.00
2019/12/12/[$LATEST]16837b7d7391406ab610e273e4f45e53,3,20873.00,1570.33,2.00,3603.67,0.33,0.00,6.67,0.00,0.00,['Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62'],17.33,105.67,432526.67,512.00,671.67,1.00,1,67550.00,654.33,18281.33,3.00,633804.00,18174.67,['jpm7Bu'],115.67,9.67,1576182943.00
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,11,25657.73,383.27,2.00,860.09,0.09,0.00,1.55,0.00,0.09,['Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62'],5.27,33.64,415589.45,512.00,683.55,0.55,1,71162.09,155.91,4379.45,11.00,633804.00,4344.45,['TBroUA'],136.82,3.45,1576182693.00
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,11,22991.00,392.91,2.00,921.36,0.09,0.00,1.64,0.00,0.00,['Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62'],4.91,17.91,411080.00,512.00,680.73,0.45,1,72622.45,202.82,4668.64,11.00,633804.00,4648.55,['V3MMI0'],69.27,2.91,1576183706.00
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,11,22830.36,308.00,2.00,621.91,0.00,0.00,1.82,0.00,0.18,['Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62'],4.73,29.82,417087.27,512.00,684.73,0.27,1,70821.45,174.27,3181.64,11.00,633804.00,3150.73,['yVBXpQ'],236.18,3.82,1576183089.00
2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061,11,22155.64,284.09,2.00,511.36,0.00,0.00,1.55,0.00,0.09,['Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62'],5.18,35.09,416272.36,512.00,685.64,0.36,1,71606.55,182.91,2630.73,11.00,633804.00,2594.64,['hzWV28'],63.09,1.18,1576183637.00
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,11,23379.82,373.18,2.00,738.27,0.00,0.00,2.00,0.00,0.00,['Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62'],5.27,30.36,411681.45,512.00,686.09,0.27,1,72472.18,287.09,3767.36,11.00,633804.00,3736.00,['5BaqaE'],89.55,3.64,1576183247.00
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,11,21309.91,211.55,2.00,457.36,0.09,0.00,1.09,0.00,0.00,['Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62'],2.55,27.73,418596.73,512.00,677.64,0.09,1,70264.73,103.64,2339.27,11.00,633804.00,2309.00,['mBp05T'],166.36,3.27,1576183452.00
Total number of unique containerIDs: 10

Category cpuType:
cpuType,uses,containerID_list,avg_contextSwitches,avg_contextSwitchesDelta,avg_cpuCores,avg_cpuIdleDelta,avg_cpuIowaitDelta,avg_cpuIrqDelta,avg_cpuKrnDelta,avg_cpuNiceDelta,avg_cpuSoftIrqDelta,avg_cpuUsrDelta,avg_frameworkRuntime,avg_freeMemory,avg_functionMemory,avg_majorPageFaults,avg_majorPageFaultsDelta,sum_newcontainer,avg_pageFaults,avg_pageFaultsDelta,avg_runtime,avg_tenants[vmID],avg_totalMemory,avg_userRuntime,vmID_list,avg_vmcpusteal,avg_vmcpustealDelta,avg_vmuptime
Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,102,['2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45'; '2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0'; '2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41'; '2019/12/12/[$LATEST]16837b7d7391406ab610e273e4f45e53'; '2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824'; '2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7'; '2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc'; '2019/12/12/[$LATEST]ade6a3d911f743df9b97b8197ddb3061'; '2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5'; '2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856'],23097.49,362.54,2.00,769.40,0.04,0.00,1.83,0.00,0.08,4.97,32.46,415694.51,512.00,682.75,0.33,10,71449.55,203.34,3923.22,10.76,633804.00,3889.50,['5BaqaE'; 'TBroUA'; 'V3MMI0'; 'g8Ujcw'; 'hzWV28'; 'jpm7Bu'; 'mBp05T'; 'vfjy6n'; 'wlA3wq'; 'yVBXpQ'],114.62,2.87,1576183305.89
Total number of unique cpuTypes: 1

--- Runs of Group cpuType ---

Category cpuType with Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62:
containerID,contextSwitches,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuNiceDelta,cpuSoftIrqDelta,cpuUsrDelta,frameworkRuntime,freeMemory,functionMemory,functionName,functionRegion,majorPageFaults,majorPageFaultsDelta,newcontainer,pageFaults,pageFaultsDelta,runtime,tenants[vmID],totalMemory,userRuntime,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime,zTenancy[vmID]
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,21558,40,2,1,0,0,0,0,0,0,89,406212,512,tutorial9,us-east-1,688,0,0,74386,4,92,11,633804,0,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,16,0,1576184143,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62 - 11
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,23928,0,2,0,0,0,0,0,0,0,4,404900,512,tutorial9,us-east-1,685,0,0,73815,0,20,11,633804,0,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,76,0,1576183706,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62 - 11
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,24479,4,2,0,0,0,0,0,0,0,57,404888,512,tutorial9,us-east-1,691,0,0,73820,0,58,11,633804,0,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,99,0,1576183247,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62 - 11
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,21436,0,2,0,0,0,0,0,0,0,4,413560,512,tutorial9,us-east-1,681,0,0,70770,0,5,11,633804,0,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,175,0,1576183452,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62 - 11
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,26547,2,2,0,0,0,0,0,0,0,4,412720,512,tutorial9,us-east-1,684,0,0,71309,0,5,11,633804,0,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,127,0,1576182424,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62 - 11
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,26716,894,2,2395,0,0,1,0,0,2,4,404548,512,tutorial9,us-east-1,691,0,0,74500,1,12006,11,633804,12001,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,108,5,1576183247,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62 - 11
2019/12/12/[$LATEST]11f62e8a6c6b408586b6c302dc8071b0,21503,1669,2,3764,0,0,6,0,1,26,4,413064,512,tutorial9,us-east-1,688,2,0,71056,579,19036,11,633804,19031,e1707efd-06d3-4601-bd65-83f7b5a7b0cc,vfjy6n,126,11,1576183461,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62 - 11
