2019-12-12 21:17:06.048466 - Python Partest Version 0.5
Setting up test: runsperthread=50 threads=1 totalruns=50 payload=[{'name': 'Bob'} {'name': 'Joe'} {'name': 'Steve'}]

Raw results of each run:
containerID,contextSwitches,contextSwitchesDelta,cpuCores,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,freeMemory,functionMemory,functionName,functionRegion,majorPageFaults,majorPageFaultsDelta,newcontainer,pageFaults,pageFaultsDelta,runtime,totalMemory,userRuntime,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime
2019/12/12/[$LATEST]16837b7d7391406ab610e273e4f45e53,14610,1568,2,394714,2623,2,1,0,0,69,10,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,86,25,241,472216,512,tutorial9,us-east-1,642,0,1,61003,1441,13585,633804,13343,f2c991a5-c2c7-4255-81ac-9ab71a13a9a7,jpm7Bu,32,10,1576182943
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,27070,0,2,524904,0,12,0,0,0,142,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,371,0,4,412456,512,tutorial9,us-east-1,684,0,0,71740,0,4,633804,0,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,128,0,1576182424
2019/12/12/[$LATEST]004c9f15db7d4685a3bf5cb6d0e02e45,22799,4,2,182104,0,3,0,0,0,126,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,355,0,3,404916,512,tutorial9,us-east-1,688,0,0,75449,0,4,633804,0,d79e1243-13ed-4f9d-99fd-590c02b47d4c,wlA3wq,18,0,1576184143
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,26434,765,2,290379,2398,9,0,0,0,122,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,396,1,3,404360,512,tutorial9,us-east-1,685,0,0,74704,2,12004,633804,12000,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,87,4,1576183706
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,16843,1475,2,498518,2623,8,0,0,0,76,13,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,101,22,239,472956,512,tutorial9,us-east-1,643,0,1,60692,1297,13579,633804,13339,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,63,15,1576182424
2019/12/12/[$LATEST]16837b7d7391406ab610e273e4f45e53,26033,802,2,442890,2396,6,0,0,0,142,1,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,330,1,59,410668,512,tutorial9,us-east-1,688,0,0,71202,1,12060,633804,12000,f2c991a5-c2c7-4255-81ac-9ab71a13a9a7,jpm7Bu,168,3,1576182943
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,21865,2,2,318362,0,10,0,0,0,123,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,331,0,4,413064,512,tutorial9,us-east-1,681,0,0,71110,0,5,633804,1,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,176,0,1576183452
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,26553,2,2,473334,0,11,0,0,0,134,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,351,0,11,409604,512,tutorial9,us-east-1,688,0,0,72178,0,12,633804,0,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,143,0,1576182693
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,24687,4,2,361636,0,8,0,0,0,122,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,402,0,5,404888,512,tutorial9,us-east-1,691,0,0,73993,0,6,633804,0,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,100,0,1576183247
2019/12/12/[$LATEST]5b89876785564fd2bfa943b4bd9cd824,26175,2,2,473247,0,11,0,0,0,133,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,343,0,4,409976,512,tutorial9,us-east-1,688,0,0,71871,0,13,633804,0,4828f38f-740b-4086-9a44-5aa2c09ead44,TBroUA,142,0,1576182693
